,product,price,discount,image,rating,global rating
0,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999.0,"Save 1,000 (13%)",https://m.media-amazon.com/images/I/71FYSKYFupS._AC_UL320_.jpg,4.1,1780.0
1,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",6999.0,"Save 1,000 (13%)",https://m.media-amazon.com/images/I/618UBhFmaQS._AC_UL320_.jpg,4.1,1780.0
2,realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Black),499.0,Save 100 (17%),https://m.media-amazon.com/images/I/61BsLMD3u2S._AC_UL320_.jpg,4.3,14519.0
3,"realme Buds Wireless 2 Neo (Black) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection",1499.0,"Save 1,000 (40%)",https://m.media-amazon.com/images/I/61+3f5q7T6S._AC_UL320_.jpg,4.1,610.0
4,"realme narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Helio G95 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",14999.0,"Save 2,000 (12%)",https://m.media-amazon.com/images/I/719tm7l723L._AC_UL320_.jpg,4.0,244.0
5,realme Buds 2 Neo in-Ear Wired Earphones with HD Mic for Android Smartphones (Blue),499.0,Save 100 (17%),https://m.media-amazon.com/images/I/61j+X6LPhaS._AC_UL320_.jpg,4.3,14519.0
6,"realme Smart Watch 2 Pro (Space Grey) with 1.75 inch (4.4 cm) HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4999.0,"Save 1,000 (17%)",https://m.media-amazon.com/images/I/71SRecX3wbL._AC_UL320_.jpg,4.2,572.0
7,realme Buds Q2 with Active Noise Cancellation (ANC) True Wireless Earbuds (Active Black) | Bluetooth v5.2 | 28-Hour Battery | IPX5 Water Resistant | Bass Boost+,2499.0,"Save 1,000 (29%)",https://m.media-amazon.com/images/I/61QDhWKBS8S._AC_UL320_.jpg,3.9,2208.0
8,"realme narzo 30 5G (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Dimensity 700 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",15999.0,"Save 2,000 (11%)",https://m.media-amazon.com/images/I/719tm7l723L._AC_UL320_.jpg,3.5,6.0
9,"realme Buds Wireless 2 Neo (Blue) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection",1499.0,"Save 1,000 (40%)",https://m.media-amazon.com/images/I/61UtY2UWYYS._AC_UL320_.jpg,4.1,610.0
10,"Realme X7 (Nebula, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",17999.0,"Save 4,000 (18%)",https://m.media-amazon.com/images/I/81kDZzf62PS._AC_UL320_.jpg,4.2,1439.0
11,realme Buds Wireless in-Ear Bluetooth with mic (Yellow),1799.0,Save 91 (5%),https://m.media-amazon.com/images/I/61e9td4-rjL._AC_UL320_.jpg,4.1,61057.0
12,"realme Smart Watch S with 1.3 inch (3.3 cm) TFT-LCD Touchscreen, 15 Days Battery Life, SpO2 & Heart Rate Monitoring, IP68 Water Resistance, Black",4999.0,"Save 3,000 (38%)",https://m.media-amazon.com/images/I/614SBqXrTES._AC_UL320_.jpg,4.2,3058.0
13,realme Buds Q2 with Active Noise Cancellation (ANC) True Wireless Earbuds (Calm Gray) | Bluetooth v5.2 | 28-Hour Battery | IPX5 Water Resistant | Bass Boost+,2499.0,"Save 1,000 (29%)",https://m.media-amazon.com/images/I/61QyKqCvQIS._AC_UL320_.jpg,3.9,2208.0
14,"realme 360 Deg 1080p Full HD WiFi Smart Security Camera (White) | Alexa Enabled | 2-Way Audio | Night Vision | Motion Tracking & Intruder Alert, 7.1cm x 6.58cm x 11.43cm (RMH2001)",2835.0,"Save 1,164 (29%)",https://m.media-amazon.com/images/I/71Xt+nPZhzL._AC_UL320_.jpg,4.1,2021.0
15,"realme Smart Watch 2 Pro (Metallic Silver) with 1.75"" HD Super Bright Touchscreen, Dual-Satellite GPS, 14-Day Battery, SpO2 & Heart Rate Monitoring, IP68 Water Resistance",4999.0,"Save 1,000 (17%)",https://m.media-amazon.com/images/I/71vG6iW6YiS._AC_UL320_.jpg,4.2,572.0
16,"Realme narzo 30A (Laser Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",8999.0,"Save 1,000 (10%)",https://m.media-amazon.com/images/I/71qklAo4DiS._AC_UL320_.jpg,4.3,3882.0
17,"realme 20000 mAh Power Bank (Quick Charge 2.0, Power Delivery 2.0, 18 W) Yellow",1599.0,Save 900 (36%),https://m.media-amazon.com/images/I/611SN6OVrDL._AC_UL320_.jpg,4.1,2594.0
